Name	Number	BeamID	E	N	U

ANT00	0	0	28.28	28.28	0.00
ANT01	1	0	56.57	56.57	0.00
ANT02	2	0	84.85	84.85	0.00
ANT03	3	0	113.14	113.14	0.00
ANT04	4	0	141.42	141.42	0.00
ANT05	5	0	169.71	169.71	0.00
ANT06	6	0	197.99	197.99	0.00
ANT07	7	0	226.27	226.27	0.00
ANT08	8	0	254.56	254.56	0.00
ANT09	9	0	282.84	282.84	0.00
ANT10	10	0	311.13	311.13	0.00
ANT11	11	0	339.41	339.41	0.00
ANT12	12	0	367.70	367.70	0.00
ANT13	13	0	395.98	395.98	0.00
ANT14	14	0	424.26	424.26	0.00
ANT15	15	0	452.55	452.55	0.00
ANT16	16	0	480.83	480.83	0.00
ANT17	17	0	509.12	509.12	0.00
ANT18	18	0	537.40	537.40	0.00
ANT19	19	0	565.69	565.69	0.00
ANT20	20	0	593.97	593.97	0.00
ANT21	21	0	622.25	622.25	0.00
ANT22	22	0	650.54	650.54	0.00
ANT23	23	0	678.82	678.82	0.00
ANT24	24	0	707.11	707.11	0.00
ANT25	25	0	-28.28	28.28	0.00
ANT26	26	0	-56.57	56.57	0.00
ANT27	27	0	-84.85	84.85	0.00
ANT28	28	0	-113.14	113.14	0.00
ANT29	29	0	-141.42	141.42	0.00
ANT30	30	0	-169.71	169.71	0.00
ANT31	31	0	-197.99	197.99	0.00
ANT32	32	0	-226.27	226.27	0.00
ANT33	33	0	-254.56	254.56	0.00
ANT34	34	0	-282.84	282.84	0.00
ANT35	35	0	-311.13	311.13	0.00
ANT36	36	0	-339.41	339.41	0.00
ANT37	37	0	-367.70	367.70	0.00
ANT38	38	0	-395.98	395.98	0.00
ANT39	39	0	-424.26	424.26	0.00
ANT40	40	0	-452.55	452.55	0.00
ANT41	41	0	-480.83	480.83	0.00
ANT42	42	0	-509.12	509.12	0.00
ANT43	43	0	-537.40	537.40	0.00
ANT44	44	0	-565.69	565.69	0.00
ANT45	45	0	-593.97	593.97	0.00
ANT46	46	0	-622.25	622.25	0.00
ANT47	47	0	-650.54	650.54	0.00
ANT48	48	0	-678.82	678.82	0.00
ANT49	49	0	-707.11	707.11	0.00
