Name	Number	BeamID	E	N	U

ANT00	0	0	21.00000000	0.00000000	0.00000000
ANT01	1	0	21.33168038	0.00000000	0.00000000
ANT02	2	0	21.77337262	0.00000000	0.00000000
ANT03	3	0	22.36156552	0.00000000	0.00000000
ANT04	4	0	23.14485047	0.00000000	0.00000000
ANT05	5	0	24.18793565	0.00000000	0.00000000
ANT06	6	0	25.57699172	0.00000000	0.00000000
ANT07	7	0	27.42677044	0.00000000	0.00000000
ANT08	8	0	29.89008445	0.00000000	0.00000000
ANT09	9	0	33.17043138	0.00000000	0.00000000
ANT10	10	0	37.53880502	0.00000000	0.00000000
ANT11	11	0	43.35608247	0.00000000	0.00000000
ANT12	12	0	51.10283669	0.00000000	0.00000000
ANT13	13	0	61.41903726	0.00000000	0.00000000
ANT14	14	0	75.15691913	0.00000000	0.00000000
ANT15	15	0	93.45138682	0.00000000	0.00000000
ANT16	16	0	117.81377043	0.00000000	0.00000000
ANT17	17	0	150.25667861	0.00000000	0.00000000
ANT18	18	0	193.46026279	0.00000000	0.00000000
ANT19	19	0	250.99362802	0.00000000	0.00000000
ANT20	20	0	327.60968147	0.00000000	0.00000000
ANT21	21	0	429.63777637	0.00000000	0.00000000
ANT22	22	0	565.50658817	0.00000000	0.00000000
ANT23	23	0	746.44041859	0.00000000	0.00000000
ANT24	24	0	987.38644997	0.00000000	0.00000000
ANT25	25	0	0.00000000	21.00000000	0.00000000
ANT26	26	0	0.00000000	21.33168038	0.00000000
ANT27	27	0	0.00000000	21.77337262	0.00000000
ANT28	28	0	0.00000000	22.36156552	0.00000000
ANT29	29	0	0.00000000	23.14485047	0.00000000
ANT30	30	0	0.00000000	24.18793565	0.00000000
ANT31	31	0	0.00000000	25.57699172	0.00000000
ANT32	32	0	0.00000000	27.42677044	0.00000000
ANT33	33	0	0.00000000	29.89008445	0.00000000
ANT34	34	0	0.00000000	33.17043138	0.00000000
ANT35	35	0	0.00000000	37.53880502	0.00000000
ANT36	36	0	0.00000000	43.35608247	0.00000000
ANT37	37	0	0.00000000	51.10283669	0.00000000
ANT38	38	0	0.00000000	61.41903726	0.00000000
ANT39	39	0	0.00000000	75.15691913	0.00000000
ANT40	40	0	0.00000000	93.45138682	0.00000000
ANT41	41	0	0.00000000	117.81377043	0.00000000
ANT42	42	0	0.00000000	150.25667861	0.00000000
ANT43	43	0	0.00000000	193.46026279	0.00000000
ANT44	44	0	0.00000000	250.99362802	0.00000000
ANT45	45	0	0.00000000	327.60968147	0.00000000
ANT46	46	0	0.00000000	429.63777637	0.00000000
ANT47	47	0	0.00000000	565.50658817	0.00000000
ANT48	48	0	0.00000000	746.44041859	0.00000000
ANT49	49	0	0.00000000	987.38644997	0.00000000
