Name	Number	BeamID	E	N	U

ANT00	0	0	979.00000000	0.00000000	0.00000000
ANT01	1	0	978.66831962	0.00000000	0.00000000
ANT02	2	0	978.22662738	0.00000000	0.00000000
ANT03	3	0	977.63843448	0.00000000	0.00000000
ANT04	4	0	976.85514953	0.00000000	0.00000000
ANT05	5	0	975.81206435	0.00000000	0.00000000
ANT06	6	0	974.42300828	0.00000000	0.00000000
ANT07	7	0	972.57322956	0.00000000	0.00000000
ANT08	8	0	970.10991555	0.00000000	0.00000000
ANT09	9	0	966.82956862	0.00000000	0.00000000
ANT10	10	0	962.46119498	0.00000000	0.00000000
ANT11	11	0	956.64391753	0.00000000	0.00000000
ANT12	12	0	948.89716331	0.00000000	0.00000000
ANT13	13	0	938.58096274	0.00000000	0.00000000
ANT14	14	0	924.84308087	0.00000000	0.00000000
ANT15	15	0	906.54861318	0.00000000	0.00000000
ANT16	16	0	882.18622957	0.00000000	0.00000000
ANT17	17	0	849.74332139	0.00000000	0.00000000
ANT18	18	0	806.53973721	0.00000000	0.00000000
ANT19	19	0	749.00637198	0.00000000	0.00000000
ANT20	20	0	672.39031853	0.00000000	0.00000000
ANT21	21	0	570.36222363	0.00000000	0.00000000
ANT22	22	0	434.49341183	0.00000000	0.00000000
ANT23	23	0	253.55958141	0.00000000	0.00000000
ANT24	24	0	12.61355003	0.00000000	0.00000000
ANT25	25	0	0.00000000	979.00000000	0.00000000
ANT26	26	0	0.00000000	978.66831962	0.00000000
ANT27	27	0	0.00000000	978.22662738	0.00000000
ANT28	28	0	0.00000000	977.63843448	0.00000000
ANT29	29	0	0.00000000	976.85514953	0.00000000
ANT30	30	0	0.00000000	975.81206435	0.00000000
ANT31	31	0	0.00000000	974.42300828	0.00000000
ANT32	32	0	0.00000000	972.57322956	0.00000000
ANT33	33	0	0.00000000	970.10991555	0.00000000
ANT34	34	0	0.00000000	966.82956862	0.00000000
ANT35	35	0	0.00000000	962.46119498	0.00000000
ANT36	36	0	0.00000000	956.64391753	0.00000000
ANT37	37	0	0.00000000	948.89716331	0.00000000
ANT38	38	0	0.00000000	938.58096274	0.00000000
ANT39	39	0	0.00000000	924.84308087	0.00000000
ANT40	40	0	0.00000000	906.54861318	0.00000000
ANT41	41	0	0.00000000	882.18622957	0.00000000
ANT42	42	0	0.00000000	849.74332139	0.00000000
ANT43	43	0	0.00000000	806.53973721	0.00000000
ANT44	44	0	0.00000000	749.00637198	0.00000000
ANT45	45	0	0.00000000	672.39031853	0.00000000
ANT46	46	0	0.00000000	570.36222363	0.00000000
ANT47	47	0	0.00000000	434.49341183	0.00000000
ANT48	48	0	0.00000000	253.55958141	0.00000000
ANT49	49	0	0.00000000	12.61355003	0.00000000
