Name	Number	BeamID	E	N	U

ANT00	0	0	20.08345843	0.00000000	0.00000000
ANT01	1	0	61.12984421	0.00000000	0.00000000
ANT02	2	0	92.43408867	0.00000000	0.00000000
ANT03	3	0	121.15458901	0.00000000	0.00000000
ANT04	4	0	175.72087409	0.00000000	0.00000000
ANT05	5	0	237.12491618	0.00000000	0.00000000
ANT06	6	0	244.71556641	0.00000000	0.00000000
ANT07	7	0	285.60789890	0.00000000	0.00000000
ANT08	8	0	344.13240212	0.00000000	0.00000000
ANT09	9	0	390.19124958	0.00000000	0.00000000
ANT10	10	0	410.49005588	0.00000000	0.00000000
ANT11	11	0	461.07234821	0.00000000	0.00000000
ANT12	12	0	486.36430626	0.00000000	0.00000000
ANT13	13	0	526.28749710	0.00000000	0.00000000
ANT14	14	0	592.77983772	0.00000000	0.00000000
ANT15	15	0	639.41938176	0.00000000	0.00000000
ANT16	16	0	669.47796830	0.00000000	0.00000000
ANT17	17	0	696.23908487	0.00000000	0.00000000
ANT18	18	0	758.84577895	0.00000000	0.00000000
ANT19	19	0	762.01427153	0.00000000	0.00000000
ANT20	20	0	834.30020044	0.00000000	0.00000000
ANT21	21	0	878.42484487	0.00000000	0.00000000
ANT22	22	0	885.75061598	0.00000000	0.00000000
ANT23	23	0	949.06593665	0.00000000	0.00000000
ANT24	24	0	960.50538489	0.00000000	0.00000000
ANT25	25	0	0.00000000	26.43350845	0.00000000
ANT26	26	0	0.00000000	50.93392094	0.00000000
ANT27	27	0	0.00000000	117.39241384	0.00000000
ANT28	28	0	0.00000000	152.75808353	0.00000000
ANT29	29	0	0.00000000	186.14752148	0.00000000
ANT30	30	0	0.00000000	225.51673300	0.00000000
ANT31	31	0	0.00000000	244.06844463	0.00000000
ANT32	32	0	0.00000000	306.33383733	0.00000000
ANT33	33	0	0.00000000	357.28358420	0.00000000
ANT34	34	0	0.00000000	365.07648504	0.00000000
ANT35	35	0	0.00000000	428.11401012	0.00000000
ANT36	36	0	0.00000000	450.93126448	0.00000000
ANT37	37	0	0.00000000	481.88381314	0.00000000
ANT38	38	0	0.00000000	530.54185019	0.00000000
ANT39	39	0	0.00000000	596.55168379	0.00000000
ANT40	40	0	0.00000000	615.16242721	0.00000000
ANT41	41	0	0.00000000	665.99347805	0.00000000
ANT42	42	0	0.00000000	685.78689003	0.00000000
ANT43	43	0	0.00000000	743.40562421	0.00000000
ANT44	44	0	0.00000000	791.55291754	0.00000000
ANT45	45	0	0.00000000	838.87643758	0.00000000
ANT46	46	0	0.00000000	876.04842483	0.00000000
ANT47	47	0	0.00000000	903.71030891	0.00000000
ANT48	48	0	0.00000000	947.56203475	0.00000000
ANT49	49	0	0.00000000	989.32825897	0.00000000
