Name	Number	BeamID	E	N	U

ANT00	0	0	4.67140037	8.09110279	0.00000000
ANT01	1	0	30.50911905	52.84334428	0.00000000
ANT02	2	0	41.07504308	71.14406154	0.00000000
ANT03	3	0	76.57727502	132.63573104	0.00000000
ANT04	4	0	92.83496377	160.79487398	0.00000000
ANT05	5	0	109.82999452	190.23113071	0.00000000
ANT06	6	0	129.26271539	223.88959059	0.00000000
ANT07	7	0	153.03843669	265.07034785	0.00000000
ANT08	8	0	177.20336052	306.92522369	0.00000000
ANT09	9	0	186.44402819	322.93052959	0.00000000
ANT10	10	0	212.18889282	367.52194317	0.00000000
ANT11	11	0	220.17503799	381.35435236	0.00000000
ANT12	12	0	254.23759275	440.35242784	0.00000000
ANT13	13	0	276.32468697	478.60839722	0.00000000
ANT14	14	0	295.91297057	512.53629965	0.00000000
ANT15	15	0	307.46687253	532.54824486	0.00000000
ANT16	16	0	655.32859963	8.09110279	0.00000000
ANT17	17	0	629.49088095	52.84334428	0.00000000
ANT18	18	0	618.92495692	71.14406154	0.00000000
ANT19	19	0	583.42272498	132.63573104	0.00000000
ANT20	20	0	567.16503623	160.79487398	0.00000000
ANT21	21	0	550.17000548	190.23113071	0.00000000
ANT22	22	0	530.73728461	223.88959059	0.00000000
ANT23	23	0	506.96156331	265.07034785	0.00000000
ANT24	24	0	482.79663948	306.92522369	0.00000000
ANT25	25	0	473.55597181	322.93052959	0.00000000
ANT26	26	0	447.81110718	367.52194317	0.00000000
ANT27	27	0	439.82496201	381.35435236	0.00000000
ANT28	28	0	405.76240725	440.35242784	0.00000000
ANT29	29	0	383.67531303	478.60839722	0.00000000
ANT30	30	0	364.08702943	512.53629965	0.00000000
ANT31	31	0	352.53312747	532.54824486	0.00000000
ANT32	32	0	9.34280075	0.00000000	0.00000000
ANT33	33	0	61.01823809	0.00000000	0.00000000
ANT34	34	0	82.15008616	0.00000000	0.00000000
ANT35	35	0	153.15455004	0.00000000	0.00000000
ANT36	36	0	185.66992755	0.00000000	0.00000000
ANT37	37	0	219.65998904	0.00000000	0.00000000
ANT38	38	0	258.52543079	0.00000000	0.00000000
ANT39	39	0	306.07687337	0.00000000	0.00000000
ANT40	40	0	354.40672104	0.00000000	0.00000000
ANT41	41	0	372.88805637	0.00000000	0.00000000
ANT42	42	0	424.37778565	0.00000000	0.00000000
ANT43	43	0	440.35007598	0.00000000	0.00000000
ANT44	44	0	508.47518550	0.00000000	0.00000000
ANT45	45	0	552.64937395	0.00000000	0.00000000
ANT46	46	0	591.82594114	0.00000000	0.00000000
ANT47	47	0	614.93374506	0.00000000	0.00000000
